Date,Grade,Rope,Attempt,Colour,Location,Wall,Notes
2018-01-14,10c,TR,H1,Purple,TRC MV,Prow,Crimpy at the lip - fell again; just can't remember the sequence
2018-01-14,10b,TR,RP,Green,TRC MV,Back Corner Arete,Slab in Majorca -- at last.  Changed shoes to Mythos and stuck the slab move on the first try
2018-01-14,10b,TR,RE,Yellow,TRC MV,Back Alley Overhang,Overhanging upstairs
2018-01-16,8,L,RP,Black,TRC MV,Prow,Warm up lap
2018-01-16,9,L,F,Yellow,TRC MV,Lead Cave,Got too much beta to claim OS.
2018-01-16,10b,L,RP,Orange,TRC MV,Horseshoe Left,Might have claimed this as 10c on TR.  FELT EASY today on lead!
2018-01-16,10b,L,RP,Pink,TRC MV,Prow,FELT EASY!
2018-01-16,10a,TR,OS,Yellow,TRC MV,Back Corner,"Holy cow, felt like a 10+.  Stemming."
2018-01-16,9+,TR,X,Red,TRC MV,Back Corner,"Claimed to be 9+, but climbed like a mid-10. Right arm hurt; gave up before I hurt it worse"
2018-01-16,7,TR,RE,Green,TRC MV,Horseshoe Back,Cool-down
2018-01-19,9,TR,RE,Black,TRC MV,Horseshoe Back,Warm up
2018-01-19,10b,TR,RE,Yellow,TRC MV,Horseshoe Right,Drop-knee - Climbed it again to give demo of crux move for Mary
2018-01-19,10c,TR,H1,Red,TRC MV,Horseshoe Rear,Low percentage crux move at top.  Got the move on second attempt.
2018-01-19,10d,TR,H5,Blue,TRC MV,Reactor,Loved the route - very pumpy.  Good project.
2018-01-19,9+,TR,H1,Red,TRC MV,Back Corner Edge,"Low percentage, balanced crux.  9+ still climbs like a 10."
2018-01-19,11c,TR,X,Black,TRC MV,Horseshoe Rear,Got 2/3 of the way up.  Falls galore.
2018-01-19,10d,TR,H2 A1,Blue,TRC MV,Reactor,"Tried again, aided the crux move, got the rest with fewer falls"
2018-01-21,8,L,F,Yellow,Cliff Hangars,Arch,Cliff Hangars today - warmup
2018-01-21,9,L,F,Yellow,Cliff Hangars,Arch,Felt easy
2018-01-21,9,L,F,Red,Cliff Hangars,Arch,Still felt easy
2018-01-21,8,L,H1,Blue,Cliff Hangars,Lead wall right,"HARD roofish second clip, hung to reset brain and go back to clip"
2018-01-21,9,L,OS,Green,Cliff Hangars,Lead wall left,Crazy off balance moves; very exposed and think-y
2018-01-21,10b,L,RP,Orange,Cliff Hangars,Facing Cafe,Lead of the route I TR back in November
2018-01-21,11c,TR,H4 A1,Pink,Cliff Hangars,Arch,Hard as nails; loved the sequences
2018-01-21,8,L,OS,Pink,Cliff Hangars,Arch,"Easy climb, but I could tell I was tiring"
2018-01-21,11a,TR,OS,Yellow,Cliff Hangars,Arete,"Felt easy, route was set like MV so it flowed easily"
2018-01-21,10b,TR,H1,Yellow,Cliff Hangars,Back Wall,Fell on the last move from the top
2018-01-21,10c,TR,H4,Purple,Cliff Hangars,Facing Cafe,"Last burn - fell, fell, fell, plus spun a hold"
2018-01-24,7,TR,RE,Pink,TRC MV,Reactor,"Warm-up on something easy, with downclimb"
2018-01-24,7,DC,F,Pink,TRC MV,Reactor,Downclimb
2018-01-24,9,TR,X,Black,TRC MV,Right of Reactor,"JP route - very weird sequence, fell, hurt my knee."
2018-01-24,9,TR,X,Black,TRC MV,Right of Reactor,"Tried again, fell again, hurt my knee again"
2018-01-24,10d,TR,H2,Blue,TRC MV,Reactor,Very close to sending
2018-01-24,9+,TR,H1,Red,TRC MV,Back Alley,Fell at crux move again
2018-01-24,9,TR,RE,Red,TRC MV,Back Alley,Easy for a 9
2018-01-24,10b,TR,RP,Yellow,TRC MV,Back Alley Arete,Hard foot switch on exposed arete
2018-01-24,10c,TR,RP,Black,TRC MV,Back Alley,Very strenuous moves
2018-01-24,10b,TR,RE,Orange,TRC MV,Horseshoe Left,Overhanging - pumpy
2018-01-24,11c,TR,X,Black,TRC MV,Horseshoe,Short attempt
2018-01-24,7,TR,RE,Yellow,TRC MV,Horseshoe,
2018-01-24,7,TR,OS,Green,TRC MV,Horseshoe Left,Suspect this was the first time I climbed it?
2018-01-24,7,DC,F,Green,TRC MV,Horseshoe Left,With downclimb for mileage
2018-01-24,6,TR,RP,Blue,TRC MV,Horseshoe Right,Up
2018-01-24,6,DC,F,Blue,TRC MV,Horseshoe Right,With downclimb for mileage
2018-01-25,8,TR,OS,Black,TRC MV,Horseshoe Right,Strenuous warm-up
2018-01-25,9,TR,OS,Red,TRC MV,Horseshoe,Felt easier
2018-01-25,10c,TR,OS,Pink,TRC MV,Horseshoe,Felt tricky
2018-01-25,11c,TR,X,Green,TRC MV,Horseshoe,"Banged my knee again, hurting it"
2018-01-25,10d,TR,H1,Blue,TRC MV,Reactor,I think I just fell once; but could have been twice?
2018-01-25,5,TR,OS,Yellow,TRC MV,Right of Reactor,Climbed up ...
2018-01-25,5,DC,F,Yellow,TRC MV,Right of Reactor,"Needed to succeed at something - ""onsight"" downclimb, except I just climbed up it, so RP"
2018-01-25,10a,TR,Hn,Black,TRC MV,Back Alley,"Holy cow, this is hard.  Greased up, and a huge JP struggle."
2018-01-25,10c,TR,H1,Purple,TRC MV,Prow,Still falling at the crux roof
2018-01-25,9,L,H1,Yellow,TRC MV,Lead Wall,Hung once - had a swinging fall risk at the crux that would have me hit a kid
2018-01-25,10c,TR,OS,Pink,TRC MV,Lead Wall,Seconded - the highlight of my night.  Might be able to go lead it.
2018-01-25,11c,TR,X,Blue,TRC MV,Lead Wall,Seconded - got partway up and felt dizzy so quit and lowered.
2018-01-28,8,L,RE,Black,TRC MV,Prow,Warm up
2018-01-28,9-,L,H1,Pink,TRC MV,Lead area,Pumpy - fumbled an early clip multiple times so hung to recover
2018-01-28,9-,L,RP,Pink,TRC MV,Lead area,Pumpy
2018-01-28,9,L,RE,Yellow,TRC MV,Lead area,Cruxy Lip
2018-01-28,10d,TR,A1,Orange,TRC MV,Horseshoe Rear,Need to re-work lower section
2018-01-28,6,TR,RP,Green,TRC MV,Horseshoe Left,Speed climb
2018-01-30,9,TR,RE,Red,TRC MV,Horseshoe Rear,Warm-up on 9
2018-01-30,10c,TR,RP,Red,TRC MV,Horseshoe Rear,"Hard, long-throw crux at top"
2018-01-30,10d,TR,H1,Orange,TRC MV,Horseshoe Rear,Fell at lower crux
2018-01-30,10d,TR,RP,Orange,TRC MV,Horseshoe Rear,Redpoint at last!  Third attempt total.
2018-01-30,10d,TR,H3,Blue,TRC MV,Reactor Wall,Fell at lower crux again
2018-01-30,11b,TR,H2,Red,TRC MV,Right of lead,Fell twice at same point in midcrux
2018-01-30,11c,TR,H1 A1,Purple,TRC MV,Horseshoe,Still have to aid through crux
2018-01-30,9,TR,RE,Black,TRC MV,Horseshoe Rear,Cool down
2018-02-01,8,TR,RE,Black,TRC MV,Horseshoe Right,Warm-up
2018-02-01,9,TR,OS,Orange,TRC MV,Horseshoe Right,"I ""downclimbed"" the first move a few times before getting it clean to the top"
2018-02-01,11a,TR,H3,Green,TRC MV,Desk area,Hard crux
2018-02-01,10d,TR,H2,Blue,TRC MV,Reactor,Still hard - still my project
2018-02-01,10d,TR,H3,Blue,TRC MV,Reactor,Fell in different places
2018-02-01,11b,TR,H1,Red,TRC MV,Right of lead,Fell once at the crux again
2018-02-01,11d,TR,X,Blue,TRC MV,Prow,Top panel feels impossible.  Lower 2/3 is doable with work.
2018-02-01,9,TR,RE,Red,TRC MV,Horseshoe Rear,Cool down
2018-02-04,7,TR,RE,Green,TRC MV,Reactor,Easy warmup
2018-02-04,10a,L,H3,Pink,TRC MV,Prow,"New route - onsight attempt.  Two takes, one slip and fall."
2018-02-04,8,L,OS,Blue,TRC MV,Right of lead,Lots of attention paid to making better clips
2018-02-04,11a,TR,H2,Green,TRC MV,Desk area,Still fell at the crux
2018-02-04,9,TR,RE,Orange,TRC MV,Horseshoe Right,Felt hard
2018-02-04,10c,TR,RP,White,TRC MV,Prow,Finally got the redpoint after a long time
2018-02-04,11a,TR,H5A3,Blue,TRC MV,Prow,"Got to the stop, with falls and aids"
2018-02-06,7,L,OS,Yellow,TRC MV,Back Corner,Delicate traverse
2018-02-06,8,L,RE,Blue,TRC MV,Right of lead,Repeat - paid attention to clip stances and heights
2018-02-06,10b,L,H3,Pink,TRC MV,Horseshoe Rear,"Got sketched, and hung a few times before finding committment"
2018-02-06,10a,L,Hx,Pink,TRC MV,Prow,Went back on lead; took and hung MANY times trying to find beta!
2018-02-06,10a,L,RP,Pink,TRC MV,Prow,Found the beta - got the clean send!
2018-02-06,10b,L,RP,Pink,TRC MV,Horseshoe Rear,Went back with committment and got the send
2018-02-06,10b,TR,OS,Black,TRC MV,Right of Reactor,Crimpy! One of the new routes that went up where my 10+ proj was
2018-02-06,8,L,OS,Green,TRC MV,Back Corner,Stemming - looked sketchier than it was. Actually 8-.
2018-02-06,11b,TR,H3,Red,TRC MV,Right of lead,So exhausted - fell twice or three times at the crux
2018-02-06,9,TR,OS,Blue,TRC MV,Right of Reactor,Onsight of the other new route
2018-02-08,8+,TR,OS,?,TRC MV,Rear Wall,Onsight warmup
2018-02-08,10a,TR,OS,Black,TRC MV,Rear Wall,Crimpy and mentally challenging
2018-02-08,10a,TR,OS,Black,TRC MV,Rear Wall,Easier than the other - more physical than mental
2018-02-08,10c,TR,X,Yellow,TRC MV,Rear Wall,HARD.  JP route.  Tweaked my finger early and abandoned.
2018-02-08,11a,TR,X,Green,TRC MV,Desk area,Got to the roof easily.  Abandoned at the crux.
2018-02-08,11c,TR,X,Pink,TRC MV,Rear Wall,"So strenuous.  Really overloaded my shoulder - abandoned. ""Pink fins"""
2018-02-08,9,TR,RP,Black,TRC MV,Right of Reactor,"Went back to the black that hurt my knee.  Got it easily, but with strenuous opening move."
2018-02-08,10c,TR,RP,Yellow,TRC MV,Rear Wall,Went back to it.  Hard moves.  Very hard.  Fought for the send.
2018-02-08,11c,TR,X,Pink,TRC MV,Rear Wall,Went back to it!  Got more early moves.  Top is too crimpy to make a reasonable project.
2018-02-08,10b,TR,RE,Pink,TRC MV,Prow,Felt easy - ran up the easy pink for mileage
2018-02-08,9,TR,RE,Orange,TRC MV,Horseshoe Right,Cool down
2018-02-10,9-,TR,OS,Blue,TRC NR,Back Right,Warm-up
2018-02-10,9+,TR,F,Yellow,TRC NR,Back Right,Needed mantle beta to make a low move
2018-02-10,10a,TR,H1,Red,TRC NR,Back Right,JP route - misread and fell
2018-02-10,10a,TR,RP,Red,TRC NR,Back Right,Got straight back on for the send
2018-02-10,10c,TR,H1,Black,TRC NR,Back Right,"Hard move, lost my nerve but it went"
2018-02-10,10c,TR,X,Black,TRC NR,Back Right,"Went back to it, but abandoned at the bottom - feet too slippery"
2018-02-10,9+,TR,X,Yellow,TRC NR,Boot,"Shane led it, I seconded, abandoned at the roof"
2018-02-10,9,TR,X,Orange,TRC NR,Boot Left,"Shane led, I seconded, abandoned another route at the roof/last move"
2018-02-10,9-,L,RP,Blue,TRC NR,Back Right,"Went back to the warm up route, led it cleanly"
2018-02-10,8,L,H1,Green,TRC NR,Back Right,Hung at second clip - move looked tenuous that low down
2018-02-10,10c,TR,OS,Blue,TRC NR,Back Left,"Thin moves, hard sequence, fought for the onsight"
2018-02-10,11a,TR,X,Yellow,TRC NR,Back Right,Moves off the ground just too hard - abandoned
2018-02-10,11a,TR,X,Red,TRC NR,Back Left,IFSC Style.  Too hard to swing legs over - abandoned again!
2018-02-10,10b,TR,RP,Orange,TRC NR,Tower Front,"Went up, misread and fell early so lowered and went back for the redpoint"
2018-02-10,10a,TR,OS,Black,TRC NR,Back Left,"Burly, but easy read for the onsight"
2018-02-10,10b,TR,OS,Yellow,TRC NR,Prow,Easy sequences except one hard move near the top.
2018-02-10,8,L,H1,Blue,TRC NR,Tower,Slippery hold at the top caused mental fatigue; rested and reset and moved through it
2018-02-11,9,TR,OS,Red,TRC MV,Back Alley,Warm-up; really balancey
2018-02-11,10a,TR,OS,Black,TRC MV,Back Alley,VERY balancey on the arete
2018-02-11,10d,TR,OS,Purple,TRC MV,Back Alley,"Burly, but felt easier than a 10+"
2018-02-11,10b,TR,H1,Pink,TRC MV,Back Alley,Fell misreading the route
2018-02-11,10b,TR,RP,Pink,TRC MV,Back Alley,Back on to get the send
2018-02-11,10b,TR,RE,Pink,TRC MV,Horseshoe,"Repeat of ""like a mule"" to show Cole the beta"
2018-02-11,11b,TR,X,Orange,TRC MV,Back Alley,Looking for a new project
2018-02-13,11a,TR,X,Black,TRC MV,Horseshoe Right,Didn't have a grade posted.  Looked like a warm-up.  Was not a warm-up!
2018-02-13,9,TR,OS,Yellow,TRC MV,Back Alley,Felt easy!
2018-02-13,9,TR,OS,Red,TRC MV,Back Alley,I tried to cheat through an 11 move earlier on one of these holds and fell off.  Did that lose me the OS?
2018-02-13,11b,TR,"H, A",Green,TRC MV,Back Alley,Hard - feels workable
2018-02-13,11b,TR,"H, A",Green,TRC MV,Back Alley,Progress - can get first 2/3 in one shot.  Crimps at the top are HARD
2018-02-13,11b,TR,"H, X",Orange,TRC MV,Back Alley,Hard as nails.  Huge moves.  Shane got the flash!
2018-02-13,8,TR,OS,Pink,TRC MV,Back Wall,"Hard for an 8, very flowy moves"
2018-02-13,6,TR,OS,Pink,TRC MV,Back Alley,Just climbed to downclimb the other one
2018-02-13,8,DC,OS,Purple,TRC MV,Back Alley,Hard reverse dyno
2018-02-13,11b,TR,"H, X",Green,TRC MV,Back Alley,Went back for another try
2018-02-13,11a,TR,X,Black,TRC MV,Horseshoe Right,"Went back to try this, hit a bad spinner hold and took a painful fall.  Session over."
2018-02-15,9+,TR,RP,Orange,TRC MV,Back Alley,Warm up
2018-02-15,10d,TR,OS,Yellow,TRC MV,Horseshoe Left,"Felt hard, but easy enough to o/s"
2018-02-15,10b,TR,OS,Purple,TRC MV,Horseshoe Right,Another new route - slightly contrived movement
2018-02-15,11a,TR,"H, A",Black,TRC MV,Horseshoe Right,Same route as before; a few holds had been updated - had to aid through one move
2018-02-15,11b,TR,"H, A",Green,TRC MV,Back Alley,"Back to my proj - first two thirds easy, one crux move still stumps me"
2018-02-15,11b,TR,"H, X",Pink,TRC MV,Back Alley,Pink fins - hurt my shoulder again trying the mantle move
2018-02-15,7+,TR,OS,Red,TRC MV,Back Alley,Easy route for fun - enjoyed the movement
2018-02-15,9+,TR,OS,Green,TRC MV,Horseshoe Left,"Very hard for a 9, had to fight to stay on the whole way"
2018-02-17,7,TR,OS,Grey,TRC MV,Horseshoe Right,Warm up with Jocelyn
2018-02-17,7,DC,F,Grey,TRC MV,Horseshoe Right,Downclimb to make a 7 worthwhile
2018-02-17,10b,TR,RE,Pink,TRC MV,Prow,Just went up so I could try to come down
2018-02-17,10b,DC,"H, X",Pink,TRC MV,Prow,"Tried to downclimb, but just too pumpy.  Fell a few times and lowered off the rest"
2018-02-17,11c,TR,X,Pink,TRC MV,Back Corner,New route - too hard - brain not engaged - gave up.
2018-02-17,10b,TR,RE,Pink,TRC MV,Back Alley,Climbed it because it was there.
2018-02-17,11a,TR,"H, A",Black,TRC MV,Horseshoe Right,"More progress, still one move I aid through.  Still many falls."
2018-02-17,10d,TR,X,Yellow,TRC MV,Horseshoe Left,Brain wasn't in it today.  Climbed to the second lip.  Didn't want to climb any more.  Lowered off.
2018-02-22,9,L,RE,Yellow,TRC MV,Lead wall,Warm up
2018-22-22,10b,L,X,Green,TRC MV,Lead wall,Shenanigans in the neighbourhood - I lowered off to escape.
2018-02-22,10b,L,"H, A",Green,TRC MV,Lead wall,Spooked to commit to the overhanging face - hung to rest and then aided the move
2018-02-22,11c,TR,X,Red,TRC MV,Horseshoe Left,Very hard - barely got off the ground
2018-02-22,11d,TR,X,Pink,TRC MV,Horseshoe Left,Did better - got 2/3 of the way.  Upper crux so hard!
2018-02-22,11a,TR,A1,Black,TRC MV,Horseshoe Right,Still can't get the one crux move.  The rest is fairly well dialed.
2018-02-22,8+,TR,OS,Grey,TRC MV,Horseshoe Left,"Fun route, and well set"
2018-02-22,8-,TR,OS,Orange,TRC MV,Back Alley,Fun route
2018-02-28,8,TR,RE,Blue,TRC MV,Right of lead,Warm up
2018-02-28,7+,TR,OS,Grey,TRC MV,Back Corner,Fun route
2018-02-28,10a,TR,RE,Pink,TRC MV,Prow,Felt hard
2018-02-28,11a,TR,H3,Black,TRC MV,Horseshoe Right,Got the crux move for the first time
2018-02-28,11c,TR,"H, X",Green,TRC MV,Back Alley,"Saw the beta, now need to execute the beta"
2018-02-28,10a,TR,OS,Grey,TRC MV,Back Corner,Slopers and awkward mantles; tweaked my shoulder a little
2018-02-28,8,TR,RP,Purple,TRC MV,Back Alley,Never up-climbed this route before!
2018-02-28,9,TR,RE,Red,TRC MV,Back Alley,Felt really hard - went up to try to come down
2018-02-28,9,DC,X,Red,TRC MV,Back Alley,"Too hard, abandoned attempt"
2018-03-01,8+,TR,RE,Grey,TRC MV,Horseshoe Back,Warm-up
2018-03-01,10b,TR,RE,Pink,TRC MV,Prow,Felt pumpy
2018-03-01,10b,L,RE,Pink,TRC MV,Prow,"Went back up on lead, since that's what we were doing"
2018-03-01,11a,TR,X,Black,TRC MV,Horseshoe Right,"Bashed my hand near the start, bailed"
2018-03-01,9,TR,RE,Orange,TRC MV,Horseshoe Right,Went up
2018-03-01,9,DC,H1,Orange,TRC MV,Horseshoe Right,"Tried the downclimb, it was hard!"
2018-03-01,9,TR,RE,Red,TRC MV,Horseshoe Back,Went up
2018-03-01,9,DC,H1,Red,TRC MV,Horseshoe Back,"Tried the downclimb, fell down the last move due to traffic in the vicinity"
2018-03-01,10c,TR,A1,Red,TRC MV,Reactor Wall,"Aided the one move, otherwise it'll go"
2018-03-01,8,TR,RE,Blue,TRC MV,Back Alley,Went up
2018-03-01,9,DC,F,Yellow,TRC MV,Back Alley,"Had to wait for traffic, but downclimbed.  So hard!"
2018-03-01,8,TR,RP,Green,TRC MV,Back Corner,"Corner route - led it before, never on TR."
2018-03-01,7,TR,RP,Yellow,TRC MV,Back Corner,"Led it before, never on TR.  Cool down."
2018-03-02,7,TR,OS,Yellow,TRC NR,Tower Inside,Warm up
2018-03-02,7,DC,F,Yellow,TRC NR,Tower Inside,Downclimbed for the first time with Mary belaying
2018-03-02,9+,TR,OS,Blue,TRC NR,Back right,Lots of full reach moves - didn't see any short-person beta available
2018-03-02,10b,TR,RE,Yellow,TRC NR,Prow,"Body position is key, hard throw at the end"
2018-03-02,9,TR,OS,Red,TRC NR,Front Desk,Hurt my finger slapping for the arete
2018-03-02,10d,TR,X,Green,TRC NR,Tower Window,Auto belay - hard crux move at half way point
2018-03-02,10d,TR,A2,Blue,TRC NR,Tower Inside,"Hard cruxes, worked the other moves"
2018-03-02,10d,TR,A1,Blue,TRC NR,Tower Inside,"Working, working working."
2018-03-02,10d,TR,RP,Blue,TRC NR,Tower Inside,"Forget how many attempts (4?) - got the moves, got them linked"
2018-03-02,9,TR,OS,Red,TRC NR,Tower,Forget what else I did in the easier grades
2018-03-08,8,L,H3,Blue,TRC MV,Lead Wall,"Warm up - fall practice at clips 4, 7, 10"
2018-03-08,10b,L,RP,Green,TRC MV,Lead Wall,Finally powered through the crux section!
2018-03-08,10a,L,H1,Pink,TRC MV,Prow,"Went off-route to clip, took a penalty fall, then finished"
2018-03-08,9,TR,RE,Red,TRC MV,Back Arete,Up the arete
2018-03-08,9,DC,F,Red,TRC MV,Back Arete,"And down -- didn't get hands on start hold, but downclimb to ground"
2018-03-08,9+,TR,RE,Orange,TRC MV,Back Alley,Up the overhang -- and a rest to tighten shoelaces
2018-03-08,9+,DC,F,Orange,TRC MV,Back Alley,Downclimb was pumpy but easier
2018-03-08,10d,TR,H1,Yellow,TRC MV,Horseshoe Left,Bungled sequence at upper roof - also in demo shoes
2018-03-08,10d,TR,RE,Yellow,TRC MV,Horseshoe Left,Went back to get it clean - also in my own shoes
2018-03-08,11a,TR,H1,Black,TRC MV,Horseshoe Right,"BEST EFFORT YET - forgot sequence after the first crux and took a fall, otherwise it's in the bag"
2018-03-08,11a,TR,X,Black,TRC MV,Horseshoe Right,End of the night.  Too tired.  Too late for hard climbs.
2018-03-08,9,TR,RE,Red,TRC MV,Horseshoe Left,Up - and only stemming to rest ...
2018-03-08,9,DC,H1,Red,TRC MV,Horseshoe Back,"So close - one slip and save, one slip and fall."
2018-03-11,9,L,RE,Yellow,TRC MV,Lead wall,"Warm up, so Mary could second it"
2018-03-11,10c,L,H2,Pink,TRC MV,Lead wall,"Went up, and took two hangs for mental clarity - this project will go!"
2018-03-11,10d,TR,OS,Green,MV Classic,Doorway area,"Hard moves at the top, but got the onsight"
2018-03-11,11a,TR,H1,Black,TRC MV,Horseshoe Right,"Got fingertips on the crux hold, needed a pad and a half."
2018-03-11,11d,TR,X,Pink,TRC MV,Horseshoe Left,Worked out the lower two thirds - didn't attempt upper crux
2018-03-11,11c,TR,X,Green,TRC MV,Horseshoe Rear,"Worked the lower moves, and felt my fingers starting to hurt"
2018-03-11,5+,TR,RE,Black,TRC MV,Horseshoe Left,I'm assuming I did this route before ...
2018-03-11,7,DC,OS,Green,TRC MV,Horseshoe Left,Maybe I upclimbed this before - not sure
2018-03-13,9-,TR,RP,Blue,TRC NR,Back right,Warm-up
2018-03-13,9-,DC,F,Blue,TRC NR,Back right,New rule - first downclimb that wasn't upclimbed will be claimed as flash; downclimb WITHOUT upclimbing the route is OS.
2018-03-13,9,TR,H1,Green,TRC NR,Back left,Funky move with lead climber nearby
2018-03-13,10a,TR,X,Orange,TRC NR,Lead wall,"Shane led, I seconded - got rope caught in clip and fell; couldn't get back on route."
2018-03-13,10d,TR,H2,Yellow,TRC NR,Window,Fell twice working out beta
2018-03-13,10d,TR,H1,Yellow,TRC NR,Window,Fell once really working out the beta
2018-03-13,10d,TR,RP,Yellow,TRC NR,Window,Redpoint!
2018-03-13,11a,TR,"H3, A1",Yellow,TRC NR,Back left,Working out the beta - have wanted to climb this for a while
2018-03-13,10c,TR,X,Yellow,TRC NR,Back left,Tweaky move; abandoned attempt
2018-03-13,8,TR,OS,Green,TRC NR,Back left,"Looked at the ten, then climbed the eight.  Feet starting to hurt."
2018-03-13,6+,L,OS,Black,TRC NR,Tower,Cool down on an easy lead - felt slippery
2018-03-15,8-,TR,RE,Pink,TRC MV,HS R,Warm up
2018-03-15,10c,TR,H1,Purple,TRC MV,HS L,Fell once when confused at scrunchy sequence.
2018-03-15,10c,TR,RP,Purple,TRC MV,HS L,Went back to get it clean.
2018-03-15,10b,TR,X,Pink,TRC MV,HS R,Fell at the second move; lowered.
2018-03-15,10b,TR,RP,Pink,TRC MV,HS R,Went back to get it clean.
2018-03-15,11a,TR,X,Black,TRC MV,HS R,My project - fell at the crux.  Lowered - no explosive energy today.
2018-03-15,9,TR,OS,Black,TRC MV,HS R,Very hard - thought I would fall
2018-03-15,10c,TR,H2,Yellow,TRC MV,Back Corner,Yellow slippery holds; hurt my finger
2018-03-15,10c,TR,X,Red,TRC MV,HS,Hard move under the roof - lowered
2018-03-15,7-,TR,OS,Grey,TRC MV,Reactor Left,Cool down
2018-03-18,8+,TR,RE,Grey,TRC MV,HS,Warm up
2018-03-18,10c,TR,H1,Yellow,TRC MV,Back Corner,Still fell at the crux
2018-03-18,10c,TR,RP,Yellow,TRC MV,Back Corner,Went back to get it clean (Mary flashed this one!)
2018-03-18,10c,TR,X,Red,TRC MV,HS,"Got through the lower crux, bashed my knuckles so lowered off"
2018-03-18,10c,TR,"A, H2",Red,TRC MV,HS,Aided to the same point and climbed up - fell twice.  Climbs like an 11.
2018-03-18,11a,TR,X,Black,TRC MV,HS R,Fell at the crux move again.  Still no explosive energy for the move.
2018-03-18,11a,TR,X,Green,TRC MV,Desk Area,Lower section felt hard.  I'm just not strong enough to make the crux move yet.
2018-03-18,11d,TR,"H, X",Purple,TRC MV,Right of lead,Easier than I expected - made it half way and called it a day.  Crimpy!
2018-03-18,8,TR,RE,Blue,TRC MV,Back Alley,Up
2018-03-18,8,DC,F,Blue,TRC MV,Back Alley,And Down.
2018-03-18,9-,TR,H1,Green,TRC MV,Reactor Right,Fell!  On a 9-!  Reachy move done wrong caused my foot to pop off.
2018-03-18,11d,TR,X,Pink,TRC MV,HS L,Went back to try the crimps - got up to the hard part and lowered off.
2018-03-21,5,TR,OS,Red,TRC NR,Left Outside,Autobelay up
2018-03-21,7,DC,OS,Blue,TRC NR,Left Outside,Down on autobelay
2018-03-21,7,TR,OS,Yellow,TRC NR,Left Outside,Autobelay
2018-03-21,10c,TR,X,Orange,TRC NR,Left Outside,Autobelay; fell and auto-lowered
